t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=1.0672752752752754, v=2.5049999999999994, theta=1.3216966139319004, v_L=2.6775154095835614, v_R=2.332484590416437
t=1.0747387387387388, v=2.5049999999999994, theta=1.3196302649026652, v_L=2.678342077522624, v_R=2.3316579224773752
t=1.0822022022022022, v=2.5049999999999994, theta=1.317558708793192, v_L=2.6791724746308834, v_R=2.3308275253691155
t=1.0896656656656658, v=2.5049999999999994, theta=1.3154819377164908, v_L=2.680006578547639, v_R=2.32999342145236
t=1.0971291291291292, v=2.5049999999999994, theta=1.3133999441480826, v_L=2.6808443659824306, v_R=2.3291556340175683
t=1.1045925925925926, v=2.5049999999999994, theta=1.3113127209320496, v_L=2.6816858126942367, v_R=2.328314187305762
t=1.1120560560560562, v=2.5049999999999994, theta=1.309220261287229, v_L=2.682530893468708, v_R=2.327469106531291
t=1.1195195195195196, v=2.5049999999999994, theta=1.30712255881348, v_L=2.6833795821011193, v_R=2.32662041789888
t=1.126982982982983, v=2.5049999999999994, theta=1.305019607497753, v_L=2.6842318514017807, v_R=2.3257681485982187
t=1.1344464464464465, v=2.5049999999999994, theta=1.3029114017206262, v_L=2.6850876731455746, v_R=2.3249123268544243
t=1.14190990990991, v=2.5049999999999994, theta=1.300797936262342, v_L=2.6859470181030507, v_R=2.3240529818969486
t=1.1493733733733735, v=2.5049999999999994, theta=1.2986792063095018, v_L=2.6868098559732996, v_R=2.323190144026699
t=1.156836836836837, v=2.5049999999999994, theta=1.2965552074613629, v_L=2.6876761554061983, v_R=2.3223238445938006
t=1.1643003003003003, v=2.5049999999999994, theta=1.2944259357363117, v_L=2.6885458839761034, v_R=2.3214541160238955
t=1.171763763763764, v=2.5049999999999994, theta=1.2922913875785143, v_L=2.6894190081551184, v_R=2.3205809918448805
t=1.1792272272272273, v=2.5049999999999994, theta=1.2901515598644089, v_L=2.6902954933147294, v_R=2.3197045066852695
t=1.1866906906906907, v=2.5049999999999994, theta=1.2880064499093284, v_L=2.691175303703335, v_R=2.3188246962966645
t=1.1941541541541543, v=2.5049999999999994, theta=1.2858560554742775, v_L=2.6920584024208636, v_R=2.3179415975791344
t=1.2016176176176177, v=2.5049999999999994, theta=1.2837003747725575, v_L=2.6929447514200873, v_R=2.3170552485799116
t=1.209081081081081, v=2.5049999999999994, theta=1.2815394064766132, v_L=2.693834311475661, v_R=2.316165688524337
t=1.2165445445445446, v=2.5049999999999994, theta=1.2793731497247676, v_L=2.6947270421816016, v_R=2.3152729578183977
t=1.224008008008008, v=2.5049999999999994, theta=1.277201604128067, v_L=2.6956229019299895, v_R=2.3143770980700094
t=1.2314714714714716, v=2.5049999999999994, theta=1.2750247697772557, v_L=2.6965218478873125, v_R=2.313478152112687
t=1.238934934934935, v=2.5049999999999994, theta=1.2728426472496481, v_L=2.6974238359913656, v_R=2.3125761640086333
t=1.2463983983983984, v=2.5049999999999994, theta=1.270655237616081, v_L=2.6983288209321397, v_R=2.3116711790678597
t=1.253861861861862, v=2.5049999999999994, theta=1.2684625424478881, v_L=2.699236756137397, v_R=2.3107632438626013
t=1.2613253253253254, v=2.5049999999999994, theta=1.2662645638240786, v_L=2.7001475937429342, v_R=2.309852406257065
t=1.2687887887887888, v=2.5049999999999994, theta=1.26406130433825, v_L=2.701061284602952, v_R=2.3089387153970464
t=1.2762522522522524, v=2.5049999999999994, theta=1.2618527671057116, v_L=2.7019777782599297, v_R=2.308022221740069
t=1.2837157157157157, v=2.5049999999999994, theta=1.2596389557707928, v_L=2.7028970229153666, v_R=2.3071029770846323
t=1.2911791791791793, v=2.5049999999999994, theta=1.2574198745137577, v_L=2.7038189654524123, v_R=2.3061810345475866
t=1.2986426426426427, v=2.5049999999999994, theta=1.2551955280582106, v_L=2.704743551380062, v_R=2.305256448619937
t=1.3061061061061061, v=2.5049999999999994, theta=1.252965921678139, v_L=2.705670724852786, v_R=2.304329275147213
t=1.3135695695695697, v=2.5049999999999994, theta=1.2507310612054012, v_L=2.7066004286185548, v_R=2.303399571381444
t=1.321033033033033, v=2.5049999999999994, theta=1.2484909530367008, v_L=2.707532604052342, v_R=2.302467395947657
t=1.3284964964964965, v=2.5049999999999994, theta=1.2462456041411416, v_L=2.7084671910915286, v_R=2.3015328089084703
t=1.33595995995996, v=2.5049999999999994, theta=1.243995022067399, v_L=2.709404128258274, v_R=2.3005958717417254
t=1.3434234234234235, v=2.5049999999999994, theta=1.2417392149511608, v_L=2.7103433526225307, v_R=2.2996566473774687
t=1.3508868868868869, v=2.5049999999999994, theta=1.23947819152227, v_L=2.711284799816746, v_R=2.2987152001832527
t=1.3583503503503505, v=2.5049999999999994, theta=1.2372119611124306, v_L=2.71222840397279, v_R=2.2977715960272094
t=1.3658138138138138, v=2.5049999999999994, theta=1.2349405336622994, v_L=2.7131740977649095, v_R=2.2968259022350894
t=1.3732772772772774, v=2.5049999999999994, theta=1.2326639197289793, v_L=2.7141218123614443, v_R=2.2958781876385546
t=1.3807407407407408, v=2.5049999999999994, theta=1.2303821304935145, v_L=2.715071477412131, v_R=2.2949285225878677
t=1.3882042042042042, v=2.5049999999999994, theta=1.2280951777681333, v_L=2.716023021059198, v_R=2.293976978940801
t=1.3956676676676678, v=2.5049999999999994, theta=1.225803074003822, v_L=2.7169763698948874, v_R=2.293023630105111
t=1.4031311311311312, v=2.5049999999999994, theta=1.2235058322976915, v_L=2.7179314489684536, v_R=2.2920685510315453
t=1.4105945945945946, v=2.5049999999999994, theta=1.2212034664003628, v_L=2.7188881817725843, v_R=2.291111818227415
t=1.4180580580580582, v=2.5049999999999994, theta=1.2188959907235069, v_L=2.7198464902172423, v_R=2.2901535097827566
t=1.4255215215215216, v=2.5049999999999994, theta=1.216583420347047, v_L=2.7208062946490266, v_R=2.2891937053509728
t=1.432984984984985, v=2.5049999999999994, theta=1.2142657710269307, v_L=2.7217675137870376, v_R=2.2882324862129613
t=1.4404484484484485, v=2.5049999999999994, theta=1.2119430592022375, v_L=2.722730064772475, v_R=2.2872699352275236
t=1.447911911911912, v=2.5049999999999994, theta=1.2096153020026434, v_L=2.723693863124533, v_R=2.286306136875465
t=1.4553753753753755, v=2.5049999999999994, theta=1.207282517255977, v_L=2.7246588227202357, v_R=2.2853411772797636
t=1.462838838838839, v=2.5049999999999994, theta=1.204944723495297, v_L=2.7256248558278915, v_R=2.284375144172107
t=1.4703023023023023, v=2.5049999999999994, theta=1.2026019399667378, v_L=2.7265918730245544, v_R=2.2834081269754445
t=1.477765765765766, v=2.5049999999999994, theta=1.2002541866361944, v_L=2.7275597832932155, v_R=2.2824402167067834
t=1.4852292292292293, v=2.5049999999999994, theta=1.1979014841972144, v_L=2.7285284938995913, v_R=2.2814715061004076
t=1.4926926926926927, v=2.5049999999999994, theta=1.1955438540781729, v_L=2.7294979104481865, v_R=2.2805020895518124
t=1.5001561561561563, v=2.5049999999999994, theta=1.1931813184491291, v_L=2.730467936902246, v_R=2.2795320630977525
t=1.5076196196196197, v=2.5049999999999994, theta=1.1908139002297724, v_L=2.7314384754706826, v_R=2.2785615245293163
t=1.5150830830830833, v=2.5049999999999994, theta=1.1884416230959125, v_L=2.732409426735683, v_R=2.277590573264316
t=1.5225465465465466, v=2.5049999999999994, theta=1.1860645114872352, v_L=2.733380689522737, v_R=2.276619310477262
t=1.53001001001001, v=2.5049999999999994, theta=1.183682590614066, v_L=2.734352160985616, v_R=2.275647839014382
t=1.5374734734734736, v=2.5049999999999994, theta=1.1812958864646523, v_L=2.7353237365469276, v_R=2.274676263453071
t=1.544936936936937, v=2.5049999999999994, theta=1.1789044258121018, v_L=2.7362953099226397, v_R=2.2737046900773588
t=1.5524004004004004, v=2.5049999999999994, theta=1.1765082362214343, v_L=2.7372667731012186, v_R=2.2727332268987803
t=1.559863863863864, v=2.5049999999999994, theta=1.1741073460566265, v_L=2.738238016336536, v_R=2.2717619836634624
t=1.5673273273273274, v=2.5049999999999994, theta=1.171701784487345, v_L=2.7392089281686034, v_R=2.270791071831395
t=1.5747907907907908, v=2.5049999999999994, theta=1.1692915814958447, v_L=2.740179395399742, v_R=2.2698206046002567
t=1.5822542542542544, v=2.5049999999999994, theta=1.1668767678839598, v_L=2.741149303077864, v_R=2.2688506969221347
t=1.5897177177177177, v=2.5049999999999994, theta=1.1644573752794143, v_L=2.742118534554109, v_R=2.26788146544589
t=1.5971811811811814, v=2.5049999999999994, theta=1.1620334361428362, v_L=2.74308697140796, v_R=2.2669130285920387
t=1.6046446446446447, v=2.5049999999999994, theta=1.159604983774322, v_L=2.744054493483224, v_R=2.2659455065167755
t=1.6121081081081081, v=2.5049999999999994, theta=1.157172052319688, v_L=2.745020978911903, v_R=2.2649790210880956
t=1.6195715715715717, v=2.5049999999999994, theta=1.1547346767772058, v_L=2.7459863040608243, v_R=2.2640136959391737
t=1.627035035035035, v=2.5049999999999994, theta=1.1522928930038394, v_L=2.746950343573876, v_R=2.263049656426123
t=1.6344984984984985, v=2.5049999999999994, theta=1.149846737721474, v_L=2.747912970367059, v_R=2.26208702963294
t=1.641961961961962, v=2.5049999999999994, theta=1.1473962485233526, v_L=2.7488740556029803, v_R=2.261125944397018
t=1.6494254254254255, v=2.5049999999999994, theta=1.1449414638798, v_L=2.749833468755293, v_R=2.260166531244707
t=1.656888888888889, v=2.5049999999999994, theta=1.1424824231445339, v_L=2.7507910775468023, v_R=2.259208922453196
t=1.6643523523523525, v=2.5049999999999994, theta=1.1400191665606925, v_L=2.7517467479724202, v_R=2.2582532520275787
t=1.6718158158158158, v=2.5049999999999994, theta=1.137551735266205, v_L=2.7527003443607856, v_R=2.257299655639213
t=1.6792792792792794, v=2.5049999999999994, theta=1.1350801713000152, v_L=2.7536517292856866, v_R=2.2563482707143128
t=1.6867427427427428, v=2.5049999999999994, theta=1.1326045176073156, v_L=2.7546007636615504, v_R=2.2553992363384494
t=1.6942062062062062, v=2.5049999999999994, theta=1.130124818045268, v_L=2.755547306692157, v_R=2.2544526933078415
t=1.7016696696696698, v=2.5049999999999994, theta=1.1276411173884484, v_L=2.756491215895613, v_R=2.253508784104385
t=1.7091331331331332, v=2.5049999999999994, theta=1.1251534613337748, v_L=2.7574323471542614, v_R=2.252567652845738
t=1.7165965965965966, v=2.5049999999999994, theta=1.122661896506209, v_L=2.758370554636005, v_R=2.2516294453639936
